Time,Quadrant Number,Ball Colour,Type
5.3,2,Color_1,Exit
5.3,4,Color_3,Exit
5.333333333333333,2,Color_1,Entry
5.333333333333333,4,Color_3,Entry
5.333333333333333,4,Color_1,Exit
5.333333333333333,2,Color_3,Exit
5.366666666666666,4,Color_1,Entry
5.366666666666666,1,Color_2,Entry
5.366666666666666,2,Color_3,Entry
5.366666666666666,4,Color_4,Entry
5.366666666666666,2,Color_1,Exit
5.366666666666666,4,Color_2,Exit
5.366666666666666,4,Color_3,Exit
5.366666666666666,1,Color_4,Exit
5.4,2,Color_2,Entry
5.4,4,Color_3,Entry
5.4,1,Color_4,Entry
5.4,1,Color_2,Exit
5.4,2,Color_3,Exit
5.4,4,Color_4,Exit
5.433333333333334,2,Color_1,Entry
5.433333333333334,4,Color_2,Entry
5.433333333333334,4,Color_1,Exit
5.433333333333334,2,Color_2,Exit
5.5,1,Color_3,Entry
5.5,4,Color_4,Entry
5.5,4,Color_3,Exit
5.5,1,Color_4,Exit
5.533333333333333,4,Color_1,Entry
5.533333333333333,2,Color_3,Entry
5.533333333333333,1,Color_4,Entry
5.533333333333333,2,Color_1,Exit
5.533333333333333,1,Color_3,Exit
5.533333333333333,4,Color_4,Exit
5.566666666666666,2,Color_1,Entry
5.566666666666666,1,Color_3,Entry
5.566666666666666,4,Color_4,Entry
5.566666666666666,4,Color_1,Exit
5.566666666666666,2,Color_3,Exit
5.566666666666666,1,Color_4,Exit
5.6,3,Color_4,Entry
5.6,4,Color_4,Exit
5.633333333333334,4,Color_1,Entry
5.633333333333334,2,Color_2,Entry
5.633333333333334,3,Color_3,Entry
5.633333333333334,1,Color_4,Entry
5.633333333333334,2,Color_1,Exit
5.633333333333334,4,Color_2,Exit
5.633333333333334,1,Color_3,Exit
5.633333333333334,3,Color_4,Exit
5.666666666666667,1,Color_3,Entry
5.666666666666667,3,Color_4,Entry
5.666666666666667,3,Color_3,Exit
5.666666666666667,1,Color_4,Exit
5.7,3,Color_1,Entry
5.7,3,Color_2,Entry
5.7,4,Color_3,Entry
5.7,4,Color_1,Exit
5.7,2,Color_2,Exit
5.7,1,Color_3,Exit
5.733333333333333,2,Color_3,Entry
5.733333333333333,4,Color_4,Entry
5.733333333333333,4,Color_3,Exit
5.733333333333333,3,Color_4,Exit
5.766666666666667,4,Color_1,Entry
5.766666666666667,3,Color_3,Entry
5.766666666666667,3,Color_4,Entry
5.766666666666667,3,Color_1,Exit
5.766666666666667,2,Color_3,Exit
5.766666666666667,4,Color_4,Exit
5.8,4,Color_2,Entry
5.8,3,Color_2,Exit
5.866666666666666,3,Color_1,Entry
5.866666666666666,4,Color_3,Entry
5.866666666666666,4,Color_1,Exit
5.866666666666666,3,Color_3,Exit
5.9,4,Color_1,Entry
5.9,2,Color_2,Entry
5.9,3,Color_1,Exit
5.9,4,Color_2,Exit
5.933333333333334,3,Color_1,Entry
5.933333333333334,4,Color_2,Entry
5.933333333333334,4,Color_1,Exit
5.933333333333334,2,Color_2,Exit
5.966666666666667,4,Color_1,Entry
5.966666666666667,3,Color_2,Entry
5.966666666666667,3,Color_1,Exit
5.966666666666667,4,Color_2,Exit
6.0,3,Color_1,Entry
